"dataset","split","runs","n","score","MAE_mean","MAE_SD","RMSE","Pearson","TAR2","SER2","Bias"
"Mohler","test","3","331","single","1.046495","0.005808","1.566369","0.786150","0.827795","0.172205","-0.971974"
"Mohler","test","3","331","avg","1.048238","0.014049","1.523849","0.799674","0.822759","0.177241","-0.993656"
"Mohler","test","3","331","selected","1.048238","0.014049","1.523849","0.799674","0.822759","0.177241","-0.993656"
"Mohler","test","3","331","3WD-Core","1.009970","0.012562","1.493251","0.802259","0.828802","0.171198","-0.948943"
"Mohler","test","3","331","3WD","0.832830","0.007769","1.333196","0.804492","0.869084","0.130916","-0.700705"
